Kode Kabupaten,Kabupaten,Provinsi,flood_events_total,deaths_total,missing_total,injured_total,affected_total,displaced_total,houses_heavy_damage,houses_medium_damage,houses_light_damage,houses_flooded,year_first_flood,year_last_flood,years_with_floods,flood_impact_score
11.01,Aceh Selatan,Aceh,41.0,2,0,0,97134,3524,4,0,14,18194,2020,2025,42,3031.7400000000002
11.02,Aceh Tenggara,Aceh,42.0,19,2,10,55082,6887,500,1218,2302,7674,2020,2025,42,3260.2200000000003
11.03,Aceh Timur,Aceh,47.0,10,1,0,237647,129716,48,8,21,56458,2020,2025,47,9069.27
11.04,Aceh Tengah,Aceh,22.0,21,23,0,55380,8302,15,0,19,2373,2021,2025,22,2913.1000000000004
11.05,Aceh Barat,Aceh,25.0,4,0,0,95950,4991,45,113,138,14367,2020,2025,25,2821.2
11.06,Aceh Besar,Aceh,18.0,3,3,0,8293,1589,5,6,1,2745,2020,2025,18,675.4300000000001
11.07,Pidie,Aceh,14.0,1,0,0,138619,37740,99,0,54,20542,2020,2025,14,3554.3900000000003
11.08,Aceh Utara,Aceh,32.0,121,118,0,436971,253914,34,74,57,94641,2020,2025,32,25965.809999999998
11.09,Simeulue,Aceh,21.0,0,0,0,10913,526,7,0,0,2056,2020,2024,21,335.73
11.1,Aceh Singkil,Aceh,26.0,0,0,0,166032,22622,2,4,12,15719,2020,2025,26,3258.2200000000003
11.11,Bireuen,Aceh,17.0,22,11,0,60632,57436,0,0,3,9215,2020,2025,17,3744.82
11.12,Aceh Barat Daya,Aceh,12.0,0,0,1,2108,5,0,0,6,1100,2020,2025,12,143.07999999999998
11.13,Gayo Lues,Aceh,24.0,4,2,0,27286,18256,1340,9,91,1811,2020,2025,24,877.96
11.14,Aceh Jaya,Aceh,32.0,0,0,0,56205,4906,0,75,0,16085,2020,2025,32,2202.55
11.15,Nagan Raya,Aceh,15.0,2,3,0,79979,8359,5,236,6,11817,2020,2025,15,2196.49
11.16,Aceh Tamiang,Aceh,27.0,42,0,6,417806,311923,2,0,0,38388,2020,2025,27,12243.86
11.17,Bener Meriah,Aceh,8.0,31,23,13,177573,37682,2,2,7,29,2020,2025,8,4886.629999999999
11.18,Pidie Jaya,Aceh,14.0,23,8,1821,164590,25027,2,0,0,19073,2020,2025,14,5867.200000000001
11.71,Kota Banda Aceh,Aceh,1.0,0,0,0,186,0,0,0,0,0,2020,2020,1,2.8600000000000003
11.72,Kota Sabang,Aceh,6.0,0,0,0,2627,29,2,0,2,539,2021,2023,6,86.17
11.73,Kota Lhokseumawe,Aceh,16.0,4,3,3,208552,24933,700,200,4,20005,2020,2025,16,4502.02
11.74,Kota Langsa,Aceh,14.0,2,0,0,228008,1,1,2,7,23188,2020,2025,15,4812.88
11.75,Kota Subulussalam,Aceh,17.0,1,0,0,71535,2481,2,0,10,10387,2020,2025,17,1871.0500000000002
12.01,Tapanuli Tengah,Sumatera Utara,7.0,98,109,543,305134,10882,56,28,41,75927,2020,2025,7,20451.04
12.02,Tapanuli Utara,Sumatera Utara,6.0,34,14,3,16546,3600,22,0,493,223,2023,2025,6,3593.76
12.03,Tapanuli Selatan,Sumatera Utara,24.0,81,35,155,294170,8079,120,6,1863,2518,2020,2025,24,11317.5
12.04,Nias,Sumatera Utara,8.0,2,0,0,16994,35,5,8,0,985,2021,2025,8,476.44
12.05,Langkat,Sumatera Utara,40.0,12,0,11,650654,21972,5,0,0,537330,2020,2025,41,61479.54
12.06,Karo,Sumatera Utara,6.0,6,0,0,425,0,5,0,57,4,2020,2024,6,610.65
12.07,Deli Serdang,Sumatera Utara,51.0,35,4,19,369310,7624,9,0,220,84487,2020,2025,53,15692.800000000001
12.08,Simalungun,Sumatera Utara,11.0,2,0,1,4804,72,23,0,17,912,2023,2025,11,350.24
12.09,Asahan,Sumatera Utara,38.0,0,0,0,89941,2002,4,1,12,28617,2020,2025,39,3799.11
12.1,Labuhanbatu,Sumatera Utara,9.0,1,0,0,24685,0,0,0,0,4851,2020,2025,9,840.95
12.11,Dairi,Sumatera Utara,8.0,0,0,0,946,32,23,0,24,72,2023,2025,9,24.66
12.12,Toba,Sumatera Utara,4.0,0,0,0,714,0,1,0,0,143,2021,2023,4,25.44
12.13,Mandailing Natal,Sumatera Utara,20.0,2,2,1,28353,13288,51,12,48,4719,2020,2025,20,975.4300000000001
12.14,Nias Selatan,Sumatera Utara,6.0,1,0,0,2160,0,2,0,0,209,2020,2025,6,148.5
12.15,Pakpak Bharat,Sumatera Utara,2.0,2,0,0,1835,0,0,0,0,0,2023,2025,2,220.35
12.16,Humbang Hasundutan,Sumatera Utara,5.0,11,11,10,7284,2510,204,39,110,146,2023,2025,5,1192.4399999999998
12.17,Samosir,Sumatera Utara,3.0,1,0,100,133,669,7,0,6,115,2023,2024,3,115.83
12.18,Serdang Bedagai,Sumatera Utara,41.0,1,0,0,349546,3924,4,0,0,79844,2020,2025,41,11620.86
12.19,Batu Bara,Sumatera Utara,39.0,0,0,0,232798,5079,4,2,2,61174,2020,2025,39,8484.380000000001
12.2,Padang Lawas Utara,Sumatera Utara,6.0,0,0,0,2070,0,0,0,0,435,2023,2025,6,70.2
12.21,Padang Lawas,Sumatera Utara,21.0,0,0,0,16524,462,150,66,466,3621,2021,2025,21,548.34
12.22,Labuhanbatu Selatan,Sumatera Utara,12.0,0,0,0,36447,2872,0,0,0,7622,2023,2025,13,1138.67
12.23,Labuhanbatu Utara,Sumatera Utara,20.0,0,0,0,48452,1,1,200,5,11563,2020,2025,20,1660.82
12.24,Nias Utara,Sumatera Utara,11.0,0,0,0,38225,0,0,0,0,7270,2020,2025,11,1120.25
12.25,Nias Barat,Sumatera Utara,5.0,0,0,0,11562,40,3,0,4,2439,2020,2025,5,364.52
12.71,Kota Medan,Sumatera Utara,56.0,13,1,0,701196,10620,0,0,0,161614,2020,2025,56,24529.36
12.72,Kota Pematangsiantar,Sumatera Utara,8.0,1,0,0,915,0,0,0,0,232,2020,2024,8,140.35000000000002
12.73,Kota Sibolga,Sumatera Utara,3.0,52,0,7,1815,3359,0,0,0,363,2023,2025,3,5257.45
12.74,Kota Tanjung Balai,Sumatera Utara,12.0,1,0,0,165961,34,0,0,0,45097,2020,2025,12,6281.3099999999995
12.75,Kota Binjai,Sumatera Utara,18.0,0,0,0,81453,10982,0,0,0,24754,2020,2025,18,3307.9300000000003
12.76,Kota Tebing Tinggi,Sumatera Utara,19.0,0,0,0,124429,550,0,0,1,31662,2020,2025,19,4429.49
12.77,Kota Padang Sidempuan,Sumatera Utara,16.0,3,2,1,10145,2160,232,198,98,1385,2020,2025,16,555.95
12.78,Kota Gunungsitoli,Sumatera Utara,11.0,2,0,2,16346,0,22,0,5,4724,2021,2025,11,846.8600000000001
13.01,Pesisir Selatan,Sumatera Barat,42.0,26,6,1,216757,79610,1215,4356,4832,99294,2020,2025,43,14738.970000000001
13.02,Solok,Sumatera Barat,18.0,1,0,96,26072,4265,219,258,182,4924,2020,2025,18,871.1200000000001
13.03,Sijunjung,Sumatera Barat,18.0,0,0,0,7468,136,8,0,89,2529,2020,2025,18,345.58000000000004
